country,country_clean,title,views_total,views_median,title_clean,lat,long,city/mountain/poi,extract
Afghanistan,Afghanistan,Iron_Man_(2008_film),7388905,5057.4298426,Iron Man (2008 film),34.528,69.172,Kabul,"Iron Man is a 2008 American superhero film based on the Marvel Comics character of the same name. The first installment of the Marvel Cinematic Universe, it was directed by Jon Favreau from a screenplay..."
Afghanistan,Afghanistan,War_Dogs_(2016_film),6797953,4652.9452430,War Dogs (2016 film),31.613,65.71,Kandahar,"War Dogs is a 2016 American biographical dark comedy-crime film directed by Todd Phillips and written by Phillips, Jason Smilovic and Stephen Chin, based on a Rolling Stone article by Guy Lawson. Lawson..."
Afghanistan,Afghanistan,Zero_Dark_Thirty,4504137,3082.9137577,Zero Dark Thirty,36.709,67.111,Mazari Sharif,Zero Dark Thirty is a 2012 American thriller film directed by Kathryn Bigelow and written by Mark Boal. The film dramatizes the nearly decade-long international manhunt for al Qaeda leader Osama bin Laden...
Afghanistan,Afghanistan,War_Machine_(film),4112150,2814.6132786,War Machine ,34.348,62.2,Herat,"War Machine is a 2017 American satirical war film directed and written by David Michôd and starring Brad Pitt, Anthony Michael Hall, Anthony Hayes, Topher Grace, Will Poulter, Tilda Swinton, and Ben Kingsley..."
Afghanistan,Afghanistan,Geostorm,3692316,2527.2525667,Geostorm,34.426,70.452,Jalalabad,"Geostorm is a 2017 American science-fiction disaster film directed, co-written, and co-produced by Dean Devlin in his feature film directorial debut. The film stars  Gerard Butler, Jim Sturgess, Ed Harris..."
Afghanistan,Afghanistan,12_Strong,3669181,2511.4175222,12 Strong,36.729,68.857,Kunduz,12 Strong (also known as 12 Strong: The Declassified True Story of the Horse Soldiers) is a 2018 American action war drama film directed by Nicolai Fuglsig and written by Ted Tally and Peter Craig. The...
Afghanistan,Afghanistan,Whiskey_Tango_Foxtrot_(film),3053746,2090.1752225,Whiskey Tango Foxtrot ,33.554,68.421,Ghazni,"Whiskey Tango Foxtrot is a 2016 American biographical war comedy-drama film directed by Glenn Ficarra and John Requa, and written by Robert Carlock, based on the memoir The Taliban Shuffle: Strange Days..."
Afghanistan,Afghanistan,Taken_3,2863592,1960.0219028,Taken 3,36.756,66.897,Balkh,Taken 3 (sometimes stylized as Tak3n) is a 2015 English-language French action thriller film directed by Olivier Megaton and written by Luc Besson and Robert Mark Kamen. It is the third and final installment...
Afghanistan,Afghanistan,Jack_Ryan:_Shadow_Recruit,2139443,1464.3689254,Jack Ryan: Shadow Recruit,36.131,68.708,Baghlan,"Jack Ryan: Shadow Recruit is a 2014 American action thriller spy film directed by Kenneth Branagh. Chris Pine, Kevin Costner, Branagh, and Keira Knightley star in leading roles. The film features the fictional..."
Afghanistan,Afghanistan,Dear_John_(2010_film),2065209,1413.5585216,Dear John (2010 film),33.597,69.226,Gardez,"Dear John is a 2010 American romantic drama-war film starring  Amanda Seyfried and  Channing Tatum. It was made by Screen Gems and was released theatrically in North America on February 5, 2010. The film..."
Albania,Albania,War_Dogs_(2016_film),6797953,4652.9452430,War Dogs (2016 film),41.328,19.819,Tirana,"War Dogs is a 2016 American biographical dark comedy-crime film directed by Todd Phillips and written by Phillips, Jason Smilovic and Stephen Chin, based on a Rolling Stone article by Guy Lawson. Lawson..."
Albania,Albania,The_Expendables_2,1879099,1286.1731691,The Expendables 2,41.324,19.455,Durrës,"The Expendables 2 is a 2012 American action film directed by Simon West, written by Richard Wenk and Sylvester Stallone and based on a story by Ken Kaufman, David Agosto and Wenk. Brian Tyler returned..."
Albania,Albania,For_Your_Eyes_Only_(film),1682879,1151.8678987,For Your Eyes Only ,41.112,20.082,Elbasan,"For Your Eyes Only is a 1981 British spy film, the twelfth in the James Bond series produced by Eon Productions, and the fifth to star Roger Moore as the fictional MI6 agent James Bond. It marked the directorial..."
