title_clean,lat,long,country
Iron Man (2008 film),34.528,69.172,Afghanistan
War Dogs (2016 film),31.613,65.71,Afghanistan
Zero Dark Thirty,36.709,67.111,Afghanistan
War Machine ,34.348,62.2,Afghanistan
Geostorm,34.426,70.452,Afghanistan
12 Strong,36.729,68.857,Afghanistan
Whiskey Tango Foxtrot ,33.554,68.421,Afghanistan
Taken 3,36.756,66.897,Afghanistan
Jack Ryan: Shadow Recruit,36.131,68.708,Afghanistan
Dear John (2010 film),33.597,69.226,Afghanistan
War Dogs (2016 film),41.328,19.819,Albania
The Expendables 2,41.324,19.455,Albania
For Your Eyes Only ,41.112,20.082,Albania
Taken 2,40.469,19.483,Albania
The Phynx,42.068,19.513,Albania
The Forgiveness of Blood,40.903,20.652,Albania
Action of the Tiger,40.683,19.619,Albania
Dear Albania,40.619,20.781,Albania
King of the Belgians ,40.724,19.556,Albania
The Albanian,40.706,19.952,Albania
The Battle of Algiers,36.732,3.087,Algeria
Caché ,36.766,3.477,Algeria
Of Gods and Men ,35.699,-0.636,Algeria
Far from Men,35.404,8.124,Algeria
The Sheik ,36.365,6.615,Algeria
Days of Glory (2006 film),34.85,5.728,Algeria
Algiers ,36.191,5.414,Algeria
Lost Command,35.556,6.174,Algeria
Carry On Spying,36.726,3.183,Algeria
The Garden of Allah (1936 film),36.9,7.767,Algeria
Next Goal Wins,-14.278,-170.702,American_Samoa
Rain (1932 film),-14.336,-170.72,American_Samoa
Sadie Thompson,-14.344,-170.785,American_Samoa
Miss Sadie Thompson,-14.332,-170.744,American_Samoa
Hurricane (1979 film),-14.276,-170.664,American_Samoa
Lost and Found on a South Sea Island,-14.331,-170.753,American_Samoa
Don't Take The Name Of God In Vain,42.546245,1.601554,Andorra
Red Scorpion,-8.837,13.234,Angola
Sweepers ,-9.298,14.912,Angola
Namibia: The Struggle for Liberation,-12.776,15.739,Angola
Any Man's Death,-12.364,13.536,Angola
Sambizanga ,-12.576,13.405,Angola
The Hero (2004 film),-12.383,16.933,Angola
Boetie Gaan Border Toe,-14.917,13.492,Angola
"Cuba, an African Odyssey",-9.54,16.341,Angola
