country,title,views_total,views_median,title_clean
Antarctica,"Ape_and_Super-Ape",12678,8.677618069815194,"Ape and Super-Ape"
Antarctica,"Ice_People",10819,7.405201916495551,"Ice People"
Antarctica,"Antarctic_Pioneers",4390,3.0047912388774813,"Antarctic Pioneers"
Antarctica,"Ice_and_the_Sky",34529,23.633812457221083,"Ice and the Sky"
Antarctica,"The_Secret_Land",34027,23.290212183436,"The Secret Land"
Antarctica,"Antarctica:_A_Year_on_Ice",40548,27.753593429158112,"Antarctica: A Year on Ice"
Antarctica,"Encounters_at_the_End_of_the_World",182189,124.7015742642026,"Encounters at the End of the World"
Antarctica,"140_Days_Under_the_World",9013,6.169062286105407,"140 Days Under the World"
Antarctica,"Der_Kongress_der_Pinguine",4614,3.158110882956879,"Der Kongress der Pinguine"
Antarctica,"Shackleton's_Antarctic_Adventure",34147,23.372347707049965,"Shackleton's Antarctic Adventure"
Antarctica,"With_Byrd_at_the_South_Pole",20185,13.815879534565367,"With Byrd at the South Pole"
Antarctica,"Eco-Pirate:_The_Story_of_Paul_Watson",12166,8.327173169062286,"Eco-Pirate: The Story of Paul Watson"
Antarctica,"Antarctic_Crossing",6032,4.128678986995209,"Antarctic Crossing"
Antarctica,"The_Great_White_Silence",16753,11.466803559206022,"The Great White Silence"
Antarctica,"Life_in_the_Freezer",56297,38.53319644079398,"Life in the Freezer"
Antarctica,"March_of_the_Penguins",373026,255.3223819301848,"March of the Penguins"
Antarctica,"The_Endurance:_Shackleton's_Legendary_Antarctic_Expedition",41635,28.49760438056126,"The Endurance: Shackleton's Legendary Antarctic Expedition"
