country,title
Cyprus,"Act_of_Reprisal"
Cyprus,"Air_Mail_from_Cyprus"
Cyprus,"Akamas_(film)"
Cyprus,"Attilas_'74"
Cyprus,"Barabbas_(1953_film)"
Cyprus,"Exodus_(1960_film)"
Cyprus,"Guilt_(2009_film)"
Cyprus,"The_High_Bright_Sun"
Cyprus,"Incident_at_Echo_Six"
Cyprus,"The_Interrogator_(TV_play)"
Cyprus,"The_Last_Homecoming"
Cyprus,"Munich_(film)"
Cyprus,"One_Morning_Near_Troodos"
Cyprus,"Otello_(1906_film)"
Cyprus,"Otello_(1986_film)"
Cyprus,"Othello_(1922_film)"
Cyprus,"Othello_(1951_film)"
Cyprus,"Othello_(1956_film)"
Cyprus,"Othello_(1965_British_film)"
Cyprus,"Othello_(1995_film)"
Cyprus,"Parallel_Trips"
Cyprus,"Private_Potter"
Cyprus,"Rendezvous_with_Dishonour"
Cyprus,"Shadows_and_Faces"
Cyprus,"Sin_(1971_film)"
Cyprus,"Under_the_Stars"
Cyprus,"A_Walk_in_the_Sun_(1978_film)"
Cyprus,"Whispers_of_Dead_Zone"
