country,title
Greenland,"The_Call_of_Cthulhu_(film)"
Greenland,"Call_of_the_Ice"
Greenland,"Captain_America:_The_First_Avenger"
Greenland,"Eight_Below"
Greenland,"Eksperimentet"
Greenland,"Fantastic_Four:_Rise_of_the_Silver_Surfer"
Greenland,"Guy_X"
Greenland,"Inuk_(film)"
Greenland,"Milak,_the_Greenland_Hunter"
Greenland,"Endless_Night_(2015_film)"
Greenland,"Nuummioq"
Greenland,"Operation_Blue_Jay"
Greenland,"Qivitoq"
Greenland,"The_Secret_Life_of_Walter_Mitty_(2013_film)"
Greenland,"Smilla's_Sense_of_Snow_(film)"
Greenland,"Soarin'"
Greenland,"Zero_Kelvin_(film)"
