country,title,views_total,views_median,title_clean
Indonesia,"Afflictions:_Culture_&_Mental_Illness_in_Indonesia",5453,3.732375085557837,"Afflictions: Culture & Mental Illness in Indonesia"
Indonesia,"Bitter_Honey_(2014_film)",9041,6.188227241615332,"Bitter Honey (2014 film)"
Indonesia,"Great_Post_Road_(film)",6894,4.718685831622176,"Great Post Road (film)"
Indonesia,"Eye_of_the_Day",6701,4.586584531143052,"Eye of the Day"
Indonesia,"Position_Among_the_Stars",11641,7.967830253251198,"Position Among the Stars"
Indonesia,"Shape_of_the_Moon",9942,6.804928131416838,"Shape of the Moon"
Indonesia,"Indonesia_Calling",11487,7.862422997946612,"Indonesia Calling"
Indonesia,"The_Look_of_Silence",525474,359.66735112936345,"The Look of Silence"
Indonesia,"The_Burning_Season_(2008_film)",39223,26.8466803559206,"The Burning Season (2008 film)"
Indonesia,"40_Years_of_Silence:_An_Indonesian_Tragedy",17579,12.032169746748803,"40 Years of Silence: An Indonesian Tragedy"
Indonesia,"The_Act_of_Killing",1080158,739.3278576317591,"The Act of Killing"
