country,title,views_total,views_median,title_clean
Ireland,"Black_'47_(film)",248735,170.2498288843258,"Black '47 (film)"
Ireland,"Bold_Emmett_Ireland's_Martyr",598,0.40930869267624914,"Bold Emmett Ireland's Martyr"
Ireland,"Boy_Eats_Girl",133085,91.09171800136893,"Boy Eats Girl"
Ireland,"Agnes_Browne",138846,95.03490759753593,"Agnes Browne"
Ireland,"All_for_Old_Ireland",273,0.1868583162217659,"All for Old Ireland"
Ireland,"List_of_films_set_in_Ireland",193171,132.21834360027378,"List of films set in Ireland"
Ireland,"The_Abduction_Club",37067,25.3709787816564,"The Abduction Club"
Ireland,"The_Crush_(2010_film)",35763,24.478439425051334,"The Crush (2010 film)"
Ireland,"Alive_and_Kicking_(1959_film)",19906,13.624914442162902,"Alive and Kicking (1959 film)"
Ireland,"Arrah-na-Pogue",5949,4.0718685831622174,"Arrah-na-Pogue"
Ireland,"Alarm_(2008_film)",15672,10.726899383983573,"Alarm (2008 film)"
Ireland,"A_Date_for_Mad_Mary",50096,34.288843258042434,"A Date for Mad Mary"
Ireland,"Dead_Man's_Evidence",4448,3.0444900752908968,"Dead Man's Evidence"
Ireland,"The_Fantasist",18482,12.650239561943874,"The Fantasist"
Ireland,"Fools_of_Fortune",33701,23.067077344284737,"Fools of Fortune"
Ireland,"Closure_of_Catharsis",4492,3.07460643394935,"Closure of Catharsis"
Ireland,"The_Field_(film)",272870,186.7693360711841,"The Field (film)"
Ireland,"Come_Back_to_Erin",449,0.3073237508555784,"Come Back to Erin"
Ireland,"The_Colleen_Bawn_(1924_film)",5033,3.4449007529089664,"The Colleen Bawn (1924 film)"
Ireland,"The_Fishermaid_of_Ballydavid",3887,2.6605065023956196,"The Fishermaid of Ballydavid"
Ireland,"The_Informer_(1929_film)",15342,10.501026694045175,"The Informer (1929 film)"
Ireland,"Hungry_Hill_(film)",32857,22.489390828199863,"Hungry Hill (film)"
Ireland,"The_Mackintosh_Man",111956,76.62970568104038,"The Mackintosh Man"
Ireland,"Paddy_the_Next_Best_Thing_(1923_film)",5811,3.97741273100616,"Paddy the Next Best Thing (1923 film)"
Ireland,"Plague_Town",12855,8.79876796714579,"Plague Town"
Ireland,"The_Lady_Peggy's_Escape",3267,2.2361396303901437,"The Lady Peggy's Escape"
Ireland,"The_Key_(1934_film)",14805,10.13347022587269,"The Key (1934 film)"
Ireland,"The_Oracle_(film)",18957,12.97535934291581,"The Oracle (film)"
Ireland,"P.S._I_Love_You_(film)",2087565,1428.8603696098562,"P.S. I Love You (film)"
Ireland,"The_Playboys",55219,37.795345653661876,"The Playboys"
Ireland,"Only_Human_(2010_film)",4843,3.314852840520192,"Only Human (2010 film)"
Ireland,"Puffball_(film)",93962,64.31348391512662,"Puffball (film)"
Ireland,"Mountains_O'Mourne",3962,2.7118412046543465,"Mountains O'Mourne"
Ireland,"Nora_(2000_film)",70652,48.3586584531143,"Nora (2000 film)"
Ireland,"The_Mayor_From_Ireland",2431,1.6639288158795347,"The Mayor From Ireland"
Ireland,"Ourselves_Alone_(film)",10950,7.494866529774128,"Ourselves Alone (film)"
Ireland,"Paddy_the_Next_Best_Thing_(1933_film)",7750,5.304585900068446,"Paddy the Next Best Thing (1933 film)"
Ireland,"Oidhche_Sheanchais",5680,3.887748117727584,"Oidhche Sheanchais"
Ireland,"Ondine_(film)",293335,200.77686516084873,"Ondine (film)"
Ireland,"Steamin'_+_Dreamin'_2:_Cash_Back",5661,3.8747433264887063,"Steamin' + Dreamin' 2: Cash Back"
Ireland,"Patrick's_Day_(film)",49837,34.111567419575636,"Patrick's Day (film)"
Ireland,"Waking_Ned",301877,206.62354551676933,"Waking Ned"
Ireland,"Puckoon",57848,39.59479808350445,"Puckoon"
Ireland,"The_Playboy_of_the_Western_World_(film)",23166,15.856262833675565,"The Playboy of the Western World (film)"
Ireland,"Philomena_(film)",1431763,979.9883641341547,"Philomena (film)"
Ireland,"Ulysses_(1967_film)",114691,78.50171115674196,"Ulysses (1967 film)"
Ireland,"Smiling_Irish_Eyes",13908,9.519507186858316,"Smiling Irish Eyes"
Ireland,"The_Shaughraun_(film)",664,0.4544832306639288,"The Shaughraun (film)"
Ireland,"The_Stag_(film)",126309,86.45379876796714,"The Stag (film)"
Ireland,"Song_of_the_Sea_(2014_film)",1126670,771.1635865845311,"Song of the Sea (2014 film)"
Ireland,"Shrooms_(film)",180567,123.59137577002053,"Shrooms (film)"
Ireland,"The_Spirit_of_St._Louis_(film)",129456,88.60780287474333,"The Spirit of St. Louis (film)"
Ireland,"Pursuit_(2015_film)",25174,17.23066392881588,"Pursuit (2015 film)"
Ireland,"Riders_to_the_Sea_(1936_film)",6015,4.117043121149897,"Riders to the Sea (1936 film)"
Ireland,"The_Purple_Taxi",23774,16.272416153319643,"The Purple Taxi"
Ireland,"The_Quiet_Man",1298548,888.807665982204,"The Quiet Man"
Ireland,"The_Wind_That_Shakes_the_Barley_(film)",835996,572.208076659822,"The Wind That Shakes the Barley (film)"
Ireland,"The_Secret_of_Roan_Inish",187615,128.41546885694729,"The Secret of Roan Inish"
Ireland,"Steamin'_+_Dreamin':_The_Grandmaster_Cash_Story",8027,5.494182067077344,"Steamin' + Dreamin': The Grandmaster Cash Story"
Ireland,"Treasure_Island_(1938_film)",7303,4.9986310746064335,"Treasure Island (1938 film)"
Ireland,"Trance_(1998_film)",34117,23.351813826146476,"Trance (1998 film)"
Ireland,"The_Rising_of_the_Moon_(film)",47115,32.24845995893224,"The Rising of the Moon (film)"
Ireland,"Rory_O'More_(film)",869,0.594798083504449,"Rory O'More (film)"
Ireland,"The_Vagabonds_(1912_film)",1523,1.0424366872005475,"The Vagabonds (1912 film)"
Ireland,"The_Yank",3618,2.4763860369609856,"The Yank"
Ireland,"Zonad",63347,43.3586584531143,"Zonad"
Ireland,"Spring_Meeting",7968,5.453798767967146,"Spring Meeting"
Ireland,"Tristan_&_Isolde_(film)",676257,462.87268993839837,"Tristan & Isolde (film)"
Ireland,"Young_Cassidy",89229,61.07392197125257,"Young Cassidy"
Ireland,"Summer_of_the_Flying_Saucer",12514,8.565366187542779,"Summer of the Flying Saucer"
Ireland,"Widows'_Peak",50696,34.69952087611225,"Widows' Peak"
Ireland,"Wee_Lady_Betty",5844,4,"Wee Lady Betty"
Ireland,"Grabbers",190691,130.52087611225187,"Grabbers"
Ireland,"Angela's_Ashes_(film)",383973,262.8151950718686,"Angela's Ashes (film)"
Ireland,"Among_the_Irish_Fisher_Folk",3405,2.3305954825462014,"Among the Irish Fisher Folk"
Ireland,"Calvary_(2014_film)",118857,81.35318275154005,"Calvary (2014 film)"
Ireland,"Darby_O'Gill_and_the_Little_People",345686,236.6091718001369,"Darby O'Gill and the Little People"
Ireland,"Da_(film)",29074,19.900068446269678,"Da (film)"
Ireland,"The_Early_Bird_(1936_film)",6581,4.5044490075290895,"The Early Bird (1936 film)"
Ireland,"Far_From_Erin's_Isle",3394,2.323066392881588,"Far From Erin's Isle"
Ireland,"The_Canal_(2014_film)",219234,150.05749486652977,"The Canal (2014 film)"
Ireland,"Nails_(2017_film)",46368,31.737166324435318,"Nails (2017 film)"
Ireland,"Enchantment_(1920_film)",4413,3.020533880903491,"Enchantment (1920 film)"
Ireland,"The_Bloodsucker_Leads_the_Dance",13600,9.308692676249144,"The Bloodsucker Leads the Dance"
Ireland,"Byzantium_(film)",1023035,700.2292950034223,"Byzantium (film)"
Ireland,"Durango_(film)",14266,9.764544832306639,"Durango (film)"
Ireland,"Gold_(2014_film)",20460,14.004106776180699,"Gold (2014 film)"
Ireland,"A_Girl_from_Mogadishu",34492,23.60848733744011,"A Girl from Mogadishu"
Ireland,"Papi_Chulo_(film)",46327,31.709103353867214,"Papi Chulo (film)"
Ireland,"The_Lodgers_(film)",365224,249.98220396988364,"The Lodgers (film)"
Ireland,"The_Hole_in_the_Ground_(film)",205702,140.79534565366188,"The Hole in the Ground (film)"
Ireland,"Brooklyn_(film)",5351067,3662.605749486653,"Brooklyn (film)"
Ireland,"The_Eye_of_the_Government",3501,2.3963039014373715,"The Eye of the Government"
Ireland,"Dementia_13",222087,152.01026694045174,"Dementia 13"
Ireland,"The_Commitments_(film)",1103669,755.4202600958248,"The Commitments (film)"
Ireland,"The_Dawn_(film)",545,0.3730321697467488,"The Dawn (film)"
Ireland,"The_Colleen_Bawn_(1911_American_film)",5789,3.9623545516769334,"The Colleen Bawn (1911 American film)"
Ireland,"Dancing_at_Lughnasa_(film)",124192,85.00479123887749,"Dancing at Lughnasa (film)"
