country,title,views_total,views_median,title_clean
Madagascar,"Souli_(film)",16952,11.603011635865846,"Souli (film)"
Madagascar,"Against_All_Flags",61256,41.927446954141,"Against All Flags"
Madagascar,"Casino_Royale_(2006_film)",5359631,3668.4674880219027,"Casino Royale (2006 film)"
Madagascar,"Makibefo",12200,8.350444900752908,"Makibefo"
Madagascar,"Chef_Thémis,_cuisinier_sans_frontières",2865,1.9609856262833676,"Chef Thémis, cuisinier sans frontières"
Madagascar,"Madagascar,_a_Journey_Diary",12811,8.768651608487337,"Madagascar, a Journey Diary"
Madagascar,"The_King's_Pirate",28277,19.354551676933607,"The King's Pirate"
Madagascar,"Island_of_Lemurs:_Madagascar",30137,20.627652292950035,"Island of Lemurs: Madagascar"
Madagascar,"Madagascar:_Escape_2_Africa",990182,677.7426420260095,"Madagascar: Escape 2 Africa"
Madagascar,"Madagascar_(2005_film)",1858988,1272.4079397672826,"Madagascar (2005 film)"
Madagascar,"The_Amorous_Corporal",5263,3.6023271731690625,"The Amorous Corporal"
