country,title,views_total,views_median,title_clean
Afghanistan,"Bioscopewala",165332,113.16358658453115,"Bioscopewala"
Afghanistan,"12_Strong",3669181,2511.4175222450376,"12 Strong"
Afghanistan,"Goodachari",515884,353.10335386721425,"Goodachari"
Afghanistan,"Kabuli_Kid",12056,8.251882272416154,"Kabuli Kid"
Afghanistan,"31_North_62_East",31220,21.36892539356605,"31 North 62 East"
Afghanistan,"Khyber_Patrol",13761,9.41889117043121,"Khyber Patrol"
Afghanistan,"Dharmatma",272765,186.6974674880219,"Dharmatma"
Afghanistan,"Afghan_Breakdown",47138,32.26420260095825,"Afghan Breakdown"
Afghanistan,"Afghan_Luke",51567,35.29568788501027,"Afghan Luke"
Afghanistan,"Kabul_Express",363752,248.97467488021903,"Kabul Express"
Afghanistan,"Brothers_(2004_film)",141500,96.85147159479808,"Brothers (2004 film)"
Afghanistan,"High_Road_to_China",147968,101.27857631759069,"High Road to China"
Afghanistan,"The_Beast_(1988_film)",274251,187.71457905544148,"The Beast (1988 film)"
Afghanistan,"The_Kite_Runner_(film)",727707,498.088295687885,"The Kite Runner (film)"
Afghanistan,"The_Dependables",80846,55.33607118412046,"The Dependables"
Afghanistan,"Osama_(film)",189816,129.92197125256675,"Osama (film)"
Afghanistan,"Fort_Bliss_(film)",152963,104.6974674880219,"Fort Bliss (film)"
Afghanistan,"Iron_Man_(2008_film)",7388905,5057.42984257358,"Iron Man (2008 film)"
Afghanistan,"Taking_Fire",38637,26.44558521560575,"Taking Fire"
Afghanistan,"Kandagar",34216,23.419575633127995,"Kandagar"
Afghanistan,"Taken_3",2863592,1960.021902806297,"Taken 3"
Afghanistan,"Rambo_III",1117860,765.1334702258727,"Rambo III"
Afghanistan,"Skateistan:_To_Live_and_Skate_Kabul",5546,3.7960301163586583,"Skateistan: To Live and Skate Kabul"
Afghanistan,"Jack_Ryan:_Shadow_Recruit",2139443,1464.368925393566,"Jack Ryan: Shadow Recruit"
Afghanistan,"Kandahar_(2010_film)",156962,107.43463381245722,"Kandahar (2010 film)"
Afghanistan,"Forces_spéciales",230426,157.7180013689254,"Forces spéciales"
Afghanistan,"Khuda_Gawah",830100,568.1724845995893,"Khuda Gawah"
Afghanistan,"The_Breadwinner_(film)",1059237,725.0082135523614,"The Breadwinner (film)"
Afghanistan,"Kandahar_(2001_film)",81861,56.030800821355236,"Kandahar (2001 film)"
Afghanistan,"Lone_Survivor",1988994,1361.3921971252566,"Lone Survivor"
Afghanistan,"Torbaaz",189022,129.378507871321,"Torbaaz"
Afghanistan,"Ten_(2013_film)",6871,4.702943189596167,"Ten (2013 film)"
Afghanistan,"The_Opium_of_talibans",3386,2.317590691307324,"The Opium of talibans"
Afghanistan,"Stitched_(film)",20866,14.281998631074606,"Stitched (film)"
Afghanistan,"Zero_Dark_Thirty",4504137,3082.913757700205,"Zero Dark Thirty"
