country,title,clean_title,extract
﻿Afghanistan,"Iron_Man_(2008_film)","Iron Man (2008 film)","Iron Man is a 2008 American superhero film based on the Marvel Comics character of the same name. The first installment of the Marvel Cinematic Universe, it was directed by Jon Favreau from a screenplay..."
Afghanistan,"War_Dogs_(2016_film)","War Dogs (2016 film)","War Dogs is a 2016 American biographical dark comedy-crime film directed by Todd Phillips and written by Phillips, Jason Smilovic and Stephen Chin, based on a Rolling Stone article by Guy Lawson. Lawson..."
Afghanistan,"Zero_Dark_Thirty","Zero Dark Thirty","Zero Dark Thirty is a 2012 American thriller film directed by Kathryn Bigelow and written by Mark Boal. The film dramatizes the nearly decade-long international manhunt for al Qaeda leader Osama bin Laden..."
Afghanistan,"War_Machine_(film)","War Machine (film)","War Machine is a 2017 American satirical war film directed and written by David Michôd and starring Brad Pitt, Anthony Michael Hall, Anthony Hayes, Topher Grace, Will Poulter, Tilda Swinton, and Ben Kingsley..."
Afghanistan,"Geostorm","Geostorm","Geostorm is a 2017 American science-fiction disaster film directed, co-written, and co-produced by Dean Devlin in his feature film directorial debut. The film stars  Gerard Butler, Jim Sturgess, Ed Harris..."
Afghanistan,"12_Strong","12 Strong","12 Strong (also known as 12 Strong: The Declassified True Story of the Horse Soldiers) is a 2018 American action war drama film directed by Nicolai Fuglsig and written by Ted Tally and Peter Craig. The..."
Afghanistan,"Whiskey_Tango_Foxtrot_(film)","Whiskey Tango Foxtrot (film)","Whiskey Tango Foxtrot is a 2016 American biographical war comedy-drama film directed by Glenn Ficarra and John Requa, and written by Robert Carlock, based on the memoir The Taliban Shuffle: Strange Days..."
Afghanistan,"Taken_3","Taken 3","Taken 3 (sometimes stylized as Tak3n) is a 2015 English-language French action thriller film directed by Olivier Megaton and written by Luc Besson and Robert Mark Kamen. It is the third and final installment..."
Afghanistan,"Jack_Ryan:_Shadow_Recruit","Jack Ryan: Shadow Recruit","Jack Ryan: Shadow Recruit is a 2014 American action thriller spy film directed by Kenneth Branagh. Chris Pine, Kevin Costner, Branagh, and Keira Knightley star in leading roles. The film features the fictional..."
Afghanistan,"Dear_John_(2010_film)","Dear John (2010 film)","Dear John is a 2010 American romantic drama-war film starring  Amanda Seyfried and  Channing Tatum. It was made by Screen Gems and was released theatrically in North America on February 5, 2010. The film..."
Albania,"War_Dogs_(2016_film)","War Dogs (2016 film)","War Dogs is a 2016 American biographical dark comedy-crime film directed by Todd Phillips and written by Phillips, Jason Smilovic and Stephen Chin, based on a Rolling Stone article by Guy Lawson. Lawson..."
Albania,"The_Expendables_2","The Expendables 2","The Expendables 2 is a 2012 American action film directed by Simon West, written by Richard Wenk and Sylvester Stallone and based on a story by Ken Kaufman, David Agosto and Wenk. Brian Tyler returned..."
Albania,"For_Your_Eyes_Only_(film)","For Your Eyes Only (film)","For Your Eyes Only is a 1981 British spy film, the twelfth in the James Bond series produced by Eon Productions, and the fifth to star Roger Moore as the fictional MI6 agent James Bond. It marked the directorial..."
Albania,"Taken_2","Taken 2","Taken 2 is a 2012 English-language French action thriller film directed by Olivier Megaton and starring Liam Neeson, Maggie Grace, Famke Janssen, Rade Šerbedžija, Leland Orser, Jon Gries, D.B. Sweeney..."
Albania,"The_Phynx","The Phynx","The Phynx is a 1970 American comedy film directed by Lee H. Katzin about a rock and roll band named The Phynx and their mission in foreign affairs.  The group is sent to the country of Albania to locate..."
Albania,"The_Forgiveness_of_Blood","The Forgiveness of Blood","The Forgiveness of Blood (Albanian: Falja e Gjakut) is a 2011 Albanian-American drama film co-written and directed by Joshua Marston. The film premiered in competition at the 61st Berlin International..."
Albania,"Action_of_the_Tiger","Action of the Tiger","Action of the Tiger is a 1957 British-American CinemaScope action film distributed by MGM, directed by Terence Young, and starring Van Johnson and Martine Carol.
The plot is about the rescue of a political..."
Albania,"Dear_Albania","Dear Albania","Dear Albania is a 2015 travel documentary film about Albania produced by Eliza Dushku and directed by Nate Dushku who are of Albanian descent. In Dear Albania, Eliza and her brother Nate travel to the..."
Albania,"King_of_the_Belgians_(film)","King of the Belgians (film)","King of the Belgians is a 2016 mockumentary comedy film produced, written and directed by  Peter Brosens and Jessica Woodworth. It premiered in the Horizons section at the 73rd edition  of the Venice Film..."
Albania,"The_Albanian","The Albanian","The Albanian (German: Der Albaner, Albanian: Shqiptari) is a 2010 German-Albanian drama film directed by Johannes Naber and starring the Albanian award-winning Nik Xhelilaj. Plot: For the sake of..."
Algeria,"The_Battle_of_Algiers","The Battle of Algiers","The Battle of Algiers (Italian: La battaglia di Algeri; Arabic: معركة الجزائر‎, romanized: Maʿrakat al-Jazāʾir) is a 1966 Italian-Algerian historical war film co-written and directed by Gillo Pontecorvo..."
Algeria,"Caché_(film)","Caché (film)","Caché (French: [ka.ʃe]), also known as Hidden, is a 2005 psychological thriller film written and directed by Michael Haneke and starring Daniel Auteuil and Juliette Binoche. The plot follows an upper-class..."
Algeria,"Of_Gods_and_Men_(film)","Of Gods and Men (film)","Of Gods and Men is a 2010 French drama film directed by Xavier Beauvois, starring Lambert Wilson and Michael Lonsdale. Its original French language title is Des hommes et des dieux, which means "Of Men..."
Algeria,"Far_from_Men","Far from Men","Far from Men (French: Loin des hommes) is a 2014 French drama film directed by David Oelhoffen. Set in French Colonial Algeria, the narrative follows Daru, a reclusive, pacifist, Algerian-born French teacher..."
Algeria,"The_Sheik_(film)","The Sheik (film)","The Sheik is a 1921 American silent romantic drama film produced by Famous Players-Lasky, directed by George Melford, starring Rudolph Valentino and Agnes Ayres, and featuring Adolphe Menjou.  It was based..."
Algeria,"Days_of_Glory_(2006_film)","Days of Glory (2006 film)","Days of Glory (French: Indigènes - "Natives"; Arabic: بلديون‎) is a 2006 French film directed by  Rachid Bouchareb. The cast includes Sami Bouajila, Jamel Debbouze, Samy Naceri, Roschdy Zem, Mélanie Laurent..."
Algeria,"Algiers_(film)","Algiers (film)","Algiers is a 1938 American drama film directed by John Cromwell and starring Charles Boyer, Sigrid Gurie, and Hedy Lamarr. Written by John Howard Lawson, the film is about a notorious French jewel thief..."
Algeria,"Lost_Command","Lost Command","Lost Command is a 1966 war film starring Anthony Quinn, Alain Delon, George Segal, Michèle Morgan, Maurice Ronet and Claudia Cardinale. The film, which was directed by Mark Robson, was based on the best..."
Algeria,"Carry_On_Spying","Carry On Spying","Carry On Spying is a 1964 film, the ninth in the series of Carry On films to be made. It marks Barbara Windsor's first appearance in the series. Series regulars Kenneth Williams, Charles Hawtrey, and Jim..."
Algeria,"The_Garden_of_Allah_(1936_film)","The Garden of Allah (1936 film)","The Garden of Allah is a 1936 American film made by Selznick International Pictures, directed by Richard Boleslawski and produced by David O. Selznick. The screenplay was written by William P. Lipscomb..."
American Samoa,"Next_Goal_Wins","Next Goal Wins","Next Goal Wins is a 2014 British documentary film directed by Mike Brett and Steve Jamison. The film chronicles the national football team of American Samoa as they try to recover from the indignity of..."
American Samoa,"Rain_(1932_film)","Rain (1932 film)","Rain is a 1932 Pre-Code South Seas drama film directed by Lewis Milestone with portions filmed at Santa Catalina Island, California. The pre-Code film stars Joan Crawford as prostitute Sadie Thompson and..."
American Samoa,"Sadie_Thompson","Sadie Thompson","Sadie Thompson is a 1928 American silent drama film that tells the story of a "fallen woman" who comes to Pago Pago on the island of Tutuila to start a new life, but encounters a zealous missionary who..."
