country,title
France,"List_of_book-based_war_films_(1775–1898_wars)"
France,"The_Amusements_of_Private_Life"
France,"Andrea_Chénier_(film)"
France,"Brotherhood_of_the_Wolf"
France,"Captain_of_the_Guard_(film)"
France,"Charlotte_Corday_(film)"
France,"Chouans!"
France,"The_Count_of_Brechard"
France,"Dangerous_Exile"
France,"Danton_(1983_film)"
France,"Dear_Caroline"
France,"Dialogue_with_the_Carmelites"
France,"I_due_sanculotti"
France,"Farewell,_My_Queen"
France,"The_Lady_and_the_Duke"
France,"Lady_Oscar_(film)"
France,"The_Lame_Devil_(film)"
France,"The_Last_Night_(1928_film)"
France,"Let_Them_Eat_Cake_(TV_series)"
France,"Madame_(1961_film)"
France,"Madame_Guillotine"
France,"Madame_Guillotine_(1916_film)"
France,"Marat/Sade_(film)"
France,"Marquis_(film)"
France,"The_Married_Couple_of_the_Year_Two"
France,"La_Marseillaise_(film)"
France,"Mr._Peabody_&_Sherman"
France,"No_Time_for_Nuts"
France,"The_Only_Way_(1927_film)"
France,"Orphans_of_the_Storm"
France,"The_Prisoner_of_Corbal"
France,"Quatre-vingt-treize_(film)"
France,"La_Révolution_française_(film)"
France,"Ridicule"
France,"The_Royalists"
France,"Scaramouche_(1923_film)"
France,"Start_the_Revolution_Without_Me"
France,"That_Night_in_Varennes"
France,"The_Tragedy_of_Man_(film)"
France,"The_Two_Orphans_(1965_film)"
France,"The_Two_Orphans_(1954_film)"
France,"The_Two_Orphans_(1976_film)"
France,"The_Visitors:_Bastille_Day"
Italy,"List_of_films_set_in_ancient_Rome"
Italy,"Agora_(film)"
Italy,"Agrippina_(film)"
Italy,"Amazons_and_Gladiators"
Italy,"Amazons_of_Rome"
Italy,"Androcles_and_the_Lion_(1952_film)"
Italy,"Antony_and_Cleopatra_(1913_film)"
Italy,"The_Arena_(1974_film)"
Italy,"The_Arena_(2001_film)"
Italy,"Attila_(1954_film)"
Italy,"Attila_(miniseries)"
Italy,"Augustine:_The_Decline_of_the_Roman_Empire"
Italy,"Barabbas_(1953_film)"
Italy,"Ben_Hur_(2003_film)"
Italy,"Ben-Hur_(1959_film)"
Italy,"Ben-Hur_(2016_film)"
Italy,"Ben-Hur:_A_Tale_of_the_Christ_(1925_film)"
Italy,"Boudica_(film)"
Italy,"Brennus,_Enemy_of_Rome"
Italy,"Brutus_(1911_film)"
Italy,"Burebista_(film)"
Italy,"Caesar_and_Cleopatra_(film)"
Italy,"Caesar_the_Conqueror"
Italy,"Caligula_(film)"
Italy,"Caligula..._The_Untold_Story"
Italy,"Carry_On_Cleo"
Italy,"Centurion_(film)"
