France,"Category:Napoleonic_Wars_films"
Italy,"Category:Ben-Hur_films"
Italy,"Category:Biographical_films_about_Roman_emperors"
Italy,"Category:Depictions_of_Nero_on_film"
Italy,"Category:Films_based_on_the_New_Testament"
Italy,"Category:Maciste_films"
Japan,"Category:Lone_Wolf_and_Cub_films"
Japan,"Category:Rurouni_Kenshin_films"
Japan,"Category:Samurai_in_anime_and_manga"
Japan,"Category:Samurai_Jack"
Japan,"Category:Seven_Samurai"
Japan,"Category:Documentary_films_about_the_atomic_bombings_of_Hiroshima_and_Nagasaki"
Sri_Lanka,"Category:Films_about_the_Sri_Lankan_Civil_War"
the_United_States,"Category:Sherlock_Holmes_films_based_on_works_by_Arthur_Conan_Doyle"
