country,title,views_total,views_median,title_clean
Canada,"The_People_of_the_Kattawapiskak_River",11764,8.05201916495551,"The People of the Kattawapiskak River"
Canada,"Gene_Boy_Came_Home",6596,4.514715947980835,"Gene Boy Came Home"
Canada,"Hi-Ho_Mistahey!",10713,7.33264887063655,"Hi-Ho Mistahey!"
Canada,"We_Can't_Make_the_Same_Mistake_Twice",8046,5.507186858316222,"We Can't Make the Same Mistake Twice"
Canada,"Incident_at_Restigouche",8149,5.577686516084873,"Incident at Restigouche"
Canada,"Trick_or_Treaty?",11640,7.967145790554415,"Trick or Treaty?"
Canada,"Kanehsatake:_270_Years_of_Resistance",29948,20.49828884325804,"Kanehsatake: 270 Years of Resistance"
Canada,"Richard_Cardinal:_Cry_from_a_Diary_of_a_Métis_Child",16736,11.455167693360712,"Richard Cardinal: Cry from a Diary of a Métis Child"
Canada,"Is_the_Crown_at_War_with_Us?",596,0.4079397672826831,"Is the Crown at War with Us?"
Canada,"Rocks_at_Whiskey_Trench",1591,1.0889801505817933,"Rocks at Whiskey Trench"
Canada,"Our_People_Will_Be_Healed",7005,4.794661190965092,"Our People Will Be Healed"
China,"Genghis_Khan:_To_the_Ends_of_the_Earth_and_Sea",80608,55.17316906228611,"Genghis Khan: To the Ends of the Earth and Sea"
China,"Genghis_Khan_(1965_film)",155143,106.1895961670089,"Genghis Khan (1965 film)"
China,"U.F.O._(1993_film)",46399,31.758384668035593,"U.F.O. (1993 film)"
China,"Genghis_Khan_(2018_film)",58406,39.97672826830938,"Genghis Khan (2018 film)"
China,"Genghis_Khan_(1998_film)",13196,9.032169746748803,"Genghis Khan (1998 film)"
China,"Mongol_(film)",498225,341.01642710472277,"Mongol (film)"
China,"Iron_Sky:_The_Coming_Race",776807,531.6954140999316,"Iron Sky: The Coming Race"
China,"No_Right_to_Die_–_Chinggis_Khaan",9315,6.3757700205338805,"No Right to Die – Chinggis Khaan"
China,"The_Conqueror_(1956_film)",208340,142.6009582477755,"The Conqueror (1956 film)"
China,"Hercules_Against_the_Barbarians",13465,9.216290212183436,"Hercules Against the Barbarians"
China,"The_Mongols_(film)",16594,11.357973990417522,"The Mongols (film)"
China,"The_Golden_Horde_(film)",25609,17.528405201916495,"The Golden Horde (film)"
China,"Bill_&_Ted's_Excellent_Adventure",1682529,1151.6283367556468,"Bill & Ted's Excellent Adventure"
China,"Invincible_Shaolin",37600,25.73579739904175,"Invincible Shaolin"
China,"18_Bronzemen",27443,18.783709787816566,"18 Bronzemen"
China,"The_Deadly_Mantis_(1978_film)",22519,15.413415468856947,"The Deadly Mantis (1978 film)"
China,"Burning_Paradise",14070,9.630390143737166,"Burning Paradise"
China,"Vengeful_Beauty",8761,5.996577686516085,"Vengeful Beauty"
China,"Disciples_of_the_36th_Chamber",70807,48.464750171115675,"Disciples of the 36th Chamber"
China,"Crouching_Tiger,_Hidden_Dragon:_Sword_of_Destiny",1490005,1019.8528405201916,"Crouching Tiger, Hidden Dragon: Sword of Destiny"
China,"The_Guillotines",64445,44.110198494182065,"The Guillotines"
China,"Master_of_the_Flying_Guillotine",106002,72.55441478439425,"Master of the Flying Guillotine"
China,"The_36th_Chamber_of_Shaolin",518796,355.0965092402464,"The 36th Chamber of Shaolin"
China,"Fong_Sai-yuk_(film)",141566,96.89664613278576,"Fong Sai-yuk (film)"
China,"Fong_Sai-yuk_II",61277,41.941820670773446,"Fong Sai-yuk II"
China,"Executioners_from_Shaolin",59719,40.87542778918549,"Executioners from Shaolin"
China,"Shaolin_Temple_(1976_film)",49420,33.82614647501711,"Shaolin Temple (1976 film)"
China,"Shaolin_Rescuers",15658,10.71731690622861,"Shaolin Rescuers"
China,"Five_Shaolin_Masters",53451,36.58521560574949,"Five Shaolin Masters"
China,"Crouching_Tiger,_Hidden_Dragon",2795630,1913.504449007529,"Crouching Tiger, Hidden Dragon"
China,"Heroes_Two",19530,13.367556468172484,"Heroes Two"
China,"The_Blood_Brothers_(film)",4223,2.890485968514716,"The Blood Brothers (film)"
China,"Cantonen_Iron_Kung_Fu",8758,5.994524298425736,"Cantonen Iron Kung Fu"
China,"Sorrows_of_the_Forbidden_City",6318,4.324435318275154,"Sorrows of the Forbidden City"
China,"The_Last_Tempest",9186,6.287474332648871,"The Last Tempest"
China,"Clan_of_the_White_Lotus",58066,39.74401095140315,"Clan of the White Lotus"
China,"Challenge_of_the_Masters",28818,19.724845995893222,"Challenge of the Masters"
China,"Killer_Constable",8499,5.8172484599589325,"Killer Constable"
