Germany,"Category:Documentary_films_about_Anne_Frank"
India,"Category:Lists_of_Gujarati_films_by_year"
Pakistan,"Category:Films_shot_in_Peshawar"
the_Roman_Empire,"Category:The_Passion_of_the_Christ"
the_United_Kingdom,"Category:Films_based_on_The_Hound_of_the_Baskervilles"
the_United_States,"Category:The_Untouchables"
the_United_States,"Category:Films_set_in_Coney_Island"
the_United_States,"Category:Spider-Man_films"
the_United_States,"Category:Watergate_scandal_in_film"
the_United_States,"Category:Dollars_Trilogy"
the_United_States,"Category:Terence_Hill_and_Bud_Spencer"
the_United_States,"Category:Guardians_of_the_Galaxy_(film_series)"
